Code,Libellé,Synonymes,Couleur,Catégorie,Statut,Experimental,Commentaire,Délimitation Géographique
1341,MARSANNE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1583,SERVANT B,non,Blanc,Mixte,valide depuis le 01/01/1900,Non,délimitation départementale ajoutée,Oui
131,DALMASSO VI 6 B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1461,NEGRETTE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1581,SEMILLON B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2791,LIVAL N,non,Noir,Cuve,supprimé depuis le 01/01/2016,Non,,Non
1459,MUSCAT CENDRE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1458,MUSCATEDDU,non,Rouge,Cuve,valide depuis le 30/08/2022,Oui,,Non
2305,MOURVEDRE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
367,SANTA BARBARA RS,non,Rose,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1457,MUSCATS A PETITS GRAINS ROUGE RG,non,Rouge,Cuve,valide depuis le 01/01/1900,Non,,Non
2667,CRAVEIRO N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1699,SEMEBAT N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2425,SELECT B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1335,TOURBAT B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2303,MOURVAISON N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2787,DANLAS B,non,Blanc,Cuve,supprimé depuis le 01/01/2016,Non,,Non
1697,SEGALIN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1455,MUSCAT OTTONEL B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2423,SAINT PIERRE DORE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2665,PANEA BIANCA B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1454,MELON ROUGE,non,Rouge,Cuve,valide depuis le 03/04/2020,Oui,,Non
245,CALABRE B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1575,GEWURZTRAMINER RS,non,Rose,Cuve,valide depuis le 01/01/1900,Non,,Non
0,CEPAGE NON RENSEIGNE,non,Indetermine,Interdit,supprimé depuis le 01/01/1900,Non,,Non
2421,SAINT MACAIRE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
