code_production	lbl_production	N°DQF	Produit (Cat 3)
01.11.00.1	Semences de céréales, légumineuses et oléagineux (à l'exclusion du riz)	3001	Semences et plants
01.11.11	Blé dur	1002	Blé dur
01.11.12	Blé tendre	1003	Blé tendre
01.11.20.1	Maïs doux	1147	Mais doux
01.11.20.2	Maïs grain (hors maïs doux)	1005	Maïs grain
01.11.31	Orges	1006	Orge
01.11.31.1	Orge de brasserie	1006	Orge
01.11.31.2	Orge fourrager	1006	Orge
01.11.32	Seigle	1009	Seigle
01.11.33	Avoine	1001	Avoine
01.11.41	Sorgho	1010	Sorgho
01.11.42	Millet	1012	Autres céréales
01.11.43	Triticale	1011	Triticale
01.11.49.1	Epeautre	1004	Epeautre
01.11.49.11	Petit épeautre	1146	Petit Epeautre
01.11.49.12	Grand épeautre	1004	Epeautre
01.11.49.2	Sarrasin	1008	Sarrasin
01.11.49.31	Mélanges Céréaliers (sans légumineuses)	1013	Mélanges céréaliers sans légumineuses
01.11.49.32	Mélanges Céréales-légumineuses	1014	Mélanges céréales-légumineuses
01.11.49.4	Quinoa	1012	Autres céréales
01.11.49.9	Autres céréales ou pseudo céréales	1012	Autres céréales
01.11.61	Haricots, verts	1041	Haricots
01.11.69.1	Petit pois	1045	Petits pois
01.11.69.2	Fèves (fraîches)	1050	Autres légumes
01.11.69.9	Autres légumes à cosse, verts n.c.a.	1050	Autres légumes
01.11.71	Haricots, secs	1041	Haricots
01.11.72	Fèves, sèches (yc féveroles)	1020	Féverole
01.11.73	Pois chiches, secs	1025	Pois chiches
01.11.74	Lentilles, sèches	1024	Lentilles
01.11.75	Pois, secs	1022	Pois protéagineux
01.11.76	Dolique à œil noir (pois du brésil, niébé)	1023	Autres protéagineux
01.11.77	Pois d'ambrevade ou pois d'angole, secs	1023	Autres protéagineux
01.11.79.1	Lupin	1021	Lupin
01.11.79.9	Autres légumes secs	1026	Autres légumes secs
01.11.81	Fèves de soja	1017	Soja
01.11.82	Arachides, en coque	1019	Autres oléagineux
01.11.91	Lin (graines)	1016	Lin non textile
01.11.92	Moutarde (graines)	1153	Graine de moutarde
01.11.93	Colza	1015	Colza
01.11.94	Sésame	1019	Autres oléagineux
01.11.95	Tournesol	1018	Tournesol
01.11.96	Ricin	1019	Autres oléagineux
01.11.99.1	Cameline	1019	Autres oléagineux
01.11.99.2	Jojoba	1019	Autres oléagineux
01.11.99.3	Carthames	1019	Autres oléagineux
