code_isapv,code_cpfbio
E01,01.24.23
E01H37,01.30.1
E02,01.28.00.99
E03,01.28.00.99
E04,01.28.00.99
E05,01.28.00.99
E06,01.28.00.99
E07,01.28.00.99
ZAF,01.28.00.99
E08,01.28.00.99
ZAG,01.13.42
E09,01.13.42
E10,01.13.42
E11,01.28.00.99
E12,01.28.00.99
ZNF,01.11.49.9
E13,01.11.49.9
E14,01.25.31
E15,01.28.00.99
E16,01.28.00.99
E17,01.22.19.1
E18,01.28.00.99
E19,01.28.00.99
E20,01.28.00.99
E21,01.28.00.99
E22ZNG,01.28.00.99
T95,01.11.82
I01,01.25.19.9
I02,01.22.19.9
E23,01.25.19.9
E24,01.28.00.99
E25,01.28.00.99
ZAJH18 I35,01.13.17
ZAJH33 I35,01.13.17
ZAJH18,01.13.17
ZAJH33,01.13.17
ZAK,01.13.11
ZAL,01.13.33
ZAL I35,01.13.33
I03,02.10.3
E26H19,01.28.00.99
ZOG,01.28.00.99
T91,01.13.19.9
T90,*
T92,01.11.79.9
ZOH,*
ZOI,*
0,01.91
1,01.99
E27,01.22.11
ZAMZLNZFB,01.11.33
ZAMZLNZFA,01.11.33
E28,01.11.33
E29,01.11.33
E30,01.11.33
ZAMZLMZFA,01.11.33
ZAMZLMZFB,01.11.33
E31,01.11.33
E31 I36,01.11.33
ZAM I36,01.11.00.1
E32,01.28.00.99
E33,01.28.00.99
E34,01.22.12
E35,01.28.00.99
E36,01.28.00.99
E37,01.28.00.99
E38,01.28.00.99
ZAPZLF,01.19.10.2
ZAPH34,01.13.49.2
ZAPH34 I36,01.19.31
ZAPH34 I35,01.13.49.2
ZAPZAO,01.13.49.2
ZAPZAO I36,01.19.31
ZAPZAN,01.13.71
ZAPZAN I27,01.13.72
ZAR ZFBI02,01.11.12
ZAR ZFAI01,01.11.12
ZAQ ZFA,01.11.11
ZAQ ZFB,01.11.11
ZAQ I36,01.11.00.1
ZAR ZFA,01.11.12
ZAR ZFB,01.11.12
ZAR I36,01.11.00.1
E39,01.28.00.99
I04,02.10.3
E40,01.28.00.99
E41,01.19.10.11
E42,01.19.10.11
E43,01.19.10.11
ZAT,01.19.10.11
E44,01.19.10.11
E45,01.19.10.11
E46,01.19.10.11
E47,01.19.10.11
E48,01.19.10.11
E49,01.19.10.11
E50,01.19.10.11
E51,01.28.00.99
E52,01.28.30.35
E53,01.28.00.99
T94,01.27.11
E54,01.11.99.1
E55,01.28.00.99
I05,01.14.1
I06,01.92
E56,01.28.00.99
I07,01.28.00.99
I08,01.22.19.9
ZAU,01.28.00.99
ZAVG98,01.13.41.1
ZAVG98 I35,01.13.41.1
ZAVZLF,01.19.10.9
ZAVH24,01.13.41.1
ZAVH24 I35,01.13.41.1
ZAVH31,01.13.41.1
