code_pac,code_precision,lbl_pac,code_cpf,lbl_cpf,correspondance_directe
AAR,,Plantes aromatiques herbacées non pérennes (< 5 ans) autres que persil,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
AAR,001,"Aneth, Anis vert","01.28.19.26,01.28.14.31","Aneth, Anis",0
AAR,002,Basilic,01.28.19.27,Basilic,1
AAR,003,"Carvi, Cerfeuil, Ciboulette","01.28.14.9,01.28.19.44,01.28.19.29","Carvi, Cerfeuil, Ciboulette",0
AAR,004,"Coriandre, Cumin","01.28.14.9,01.28.19.47,01.28.14.1","Coriandre, Cumin",0
AAR,005,Fenouil,01.28.14.2,Fenouil doux et amer,1
AAR,006,Menthe douce et poivrée,"01.28.19.31,01.28.19.32","Menthe douce, menthe poivrée",0
AAR,007,Safran,01.28.19.22,Safran,1
AAR,008,Sarriette des jardins,01.28.19.1,Sarriette,1
AAR,009,Autre plante aromatique herbacée,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
AAR,010,"Cerfeuil, ciboulette","01.28.19.29,01.28.19.44","Cerfeuil, ciboulette",0
AAR,011,Carvi,01.28.14.9,"Cumin, carvi et genièvre",0
AAR,012,Coriandre,01.28.19.47,Coriandre (herbe),1
AAR,013,Cumin,01.28.14.9,"Cumin, carvi et genièvre",0
ACA,,Autre culture non précisée dans la liste (admissible),*,,0
ACP,,Autre culture pérenne et jachère dans les bananeraies,*,,0
ACP,001,Bambou,*,,0
ACP,002,Jachère entre deux plantations de bananes,*,,0
AFG,,"Autre plante fourragère annuelle (ni légumineuse, ni graminée, ni céréale, ni oléagineux)",01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
AGR,,Agrume,"01.23.11,01.23.12,01.23.13,01.23.14,01.23.19","Pomelos et pamplemousses,Citrons et limes,Oranges,Mandarines et clémentines,Autres agrumes",0
AGR,001,Agrume - Verger de plus de 5 ans,"01.23.11,01.23.12,01.23.13,01.23.14,01.23.19","Pomelos et pamplemousses,Citrons et limes,Oranges,Mandarines et clémentines,Autres agrumes",0
AGR,002,Agrume - Verger de 5 ans ou moins,"01.23.11,01.23.12,01.23.13,01.23.14,01.23.19","Pomelos et pamplemousses,Citrons et limes,Oranges,Mandarines et clémentines,Autres agrumes",0
AIL,,Aïl,01.13.42,Ail,1
AME,,Plantes médicinales et à parfum non pérennes (< 5 ans),01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
AME,001,Angélique,01.28.30.48,Angélique,1
AME,002,"Bardane, Bleuet","01.28.30.33,01.28.30.34","Bardane, Bleuet",0
